Date,Open,High,Low,Close,Adj Close,Volume
2024-05-16,202.22,204.48,201.99,202.47,199.10,8497900
2024-05-15,202.01,202.69,199.77,202.11,198.75,8370000
2024-05-14,199.00,201.58,198.16,201.51,198.16,8596200
2024-05-13,198.80,199.85,198.04,198.73,195.42,7049200
2024-05-10,198.54,199.34,198.27,198.77,195.46,7529800
2024-05-09,195.17,197.59,195.10,197.50,194.21,7977300
2024-05-08,191.00,196.65,191.00,195.65,192.39,9227600
2024-05-07,191.70,192.93,191.65,191.75,188.56,7688800
2024-05-06,191.73,192.20,189.82,192.00,188.80,7911100
2024-05-03,192.00,192.53,188.46,190.51,187.34,8922800
2024-05-02,193.07,193.50,189.52,191.66,188.47,6501700
2024-05-01,192.27,194.46,190.79,191.86,188.67,7445300
2024-04-30,192.81,194.99,191.64,191.74,188.55,8153700
2024-04-29,193.48,194.26,192.43,193.28,190.06,5387800
2024-04-26,193.57,194.87,193.06,193.49,190.27,6413700
2024-04-25,192.25,193.94,191.18,193.37,190.15,9802300
2024-04-24,190.53,193.23,190.17,193.08,189.87,6964900
2024-04-23,191.13,192.23,190.52,192.14,188.94,9144400
2024-04-22,185.99,190.13,185.98,189.41,186.26,11529700
2024-04-19,182.40,185.88,181.41,185.80,182.71,13380200
2024-04-18,181.10,183.36,179.97,181.25,178.23,9557700
2024-04-17,181.37,182.42,179.20,180.08,177.08,9017100
2024-04-16,182.90,183.16,179.65,180.80,177.79,16451800
2024-04-15,184.50,187.46,182.20,182.89,179.85,14766600
2024-04-12,188.32,188.93,182.54,182.79,179.75,31506200
2024-04-11,196.00,196.57,193.24,195.43,192.18,10137700
2024-04-10,195.55,197.07,194.18,195.47,192.22,7681400
2024-04-09,198.07,198.88,194.91,197.15,193.87,7358600
2024-04-08,197.62,198.98,197.62,198.48,195.18,8001000
2024-04-05,196.16,198.12,195.11,197.45,194.16,6531000
2024-04-04,1.15 Dividend
2024-04-04,199.15,199.68,195.55,195.65,192.39,9243800
2024-04-03,199.04,199.56,197.70,198.30,193.87,9353400
2024-04-02,198.39,199.78,198.08,198.86,194.42,7014700
2024-04-01,199.99,200.94,198.57,198.94,194.49,7309000
2024-03-28,199.49,200.72,198.54,200.30,195.82,8628300
2024-03-27,196.50,199.60,196.38,199.52,195.06,8725800
2024-03-26,194.59,196.66,194.06,195.73,191.36,5961500
2024-03-25,196.60,196.94,194.36,194.82,190.47,8620000
2024-03-22,199.01,200.48,196.54,196.62,192.23,8105800
2024-03-21,196.52,199.43,196.33,199.06,194.61,11203800
2024-03-20,194.19,196.56,193.61,196.33,191.94,9367000
2024-03-19,192.71,193.93,192.38,193.79,189.46,8478700
2024-03-18,190.63,192.70,189.89,192.66,188.35,9013800
2024-03-15,186.48,190.94,186.48,190.30,186.05,17208100
2024-03-14,191.03,191.63,187.10,187.97,183.77,10310900
2024-03-13,190.36,191.73,189.84,191.38,187.10,7795500
2024-03-12,188.95,190.16,187.91,189.84,185.60,5708400
2024-03-11,187.28,188.44,186.22,188.29,184.08,5762600
2024-03-08,188.44,190.46,187.92,188.22,184.01,6166800
2024-03-07,189.91,190.50,186.63,187.87,183.67,7618300
2024-03-06,189.25,190.07,187.63,189.53,185.29,7572900
2024-03-05,186.36,189.30,186.36,188.55,184.34,6617800
2024-03-04,184.71,187.59,184.27,186.68,182.51,7063600
2024-03-01,185.70,186.44,185.10,185.29,181.15,6311800
2024-02-29,185.66,186.43,183.85,186.06,181.90,9643000
2024-02-28,183.43,185.20,182.96,184.38,180.26,6131600
2024-02-27,183.31,183.54,182.24,183.45,179.35,5717100
